Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314,,
00:12:30,750,1406,,,1398,1290,,
00:12:35,755,1405,,,1394,1291,,
00:12:40,760,1405,,,1394,1291,,
00:12:45,765,1405,,,1394,1291,,
00:12:50,770,1405,,,1394,1292,,
00:12:55,775,1403,,,1392,1293,,
00:13:00,780,1394,,,1391,1293,,
00:13:05,785,1373,,,1390,1292,,
00:13:10,790,1364,,,1387,1292,,
00:13:15,795,1340,,,1386,1293,,
00:13:20,800,1325,,,1382,1295,,
00:13:25,805,1310,,,1381,1295,,
00:13:30,810,1303,,,1380,1295,,
00:13:35,815,1304,,,1380,1296,,
00:13:40,820,1308,,,1379,1296,,
00:13:45,825,1318,,,1379,1295,,
00:13:50,830,1328,,,1379,1293,,
00:13:55,835,1354,,,1377,1293,,
00:14:00,840,1365,,,1377,1293,,
00:14:05,845,1373,,,1377,1293,,
00:14:10,850,1370,,,1376,1293,,
00:14:15,855,1364,,,1375,1292,,
00:14:20,860,1351,,,1375,1292,,
00:14:25,865,1334,,,1373,1291,,
00:14:30,870,1327,,,1372,1291,,
00:14:35,875,1322,,,1372,1291,,
00:14:40,880,1315,,,1372,1291,,
00:14:45,885,1312,,,1371,1291,,
00:14:50,890,1310,,,1371,1292,,
00:14:55,895,1305,,,1370,1292,,
00:15:00,900,1299,,,1371,1292,,
00:15:05,905,1294,,,1370,1292,,
00:15:10,910,1294,,,1370,1292,,
00:15:15,915,1296,,,1369,1292,,
00:15:20,920,1298,,,1369,1292,,
00:15:25,925,1303,,,1370,1291,,
00:15:30,930,1305,,,1369,1290,,
00:15:35,935,1313,,,1368,1291,,
00:15:40,940,1313,,,1368,1291,,
00:15:45,945,1313,,,1369,1291,,
00:15:50,950,1312,,,1369,1291,,
00:15:55,955,1310,,,1368,1289,,
00:16:00,960,1305,,,1366,1288,,
00:16:05,965,1295,,,1367,1287,,
00:16:10,970,1290,,,1366,1286,,
00:16:15,975,1289,,,1365,1284,,
00:16:20,980,1291,,,1365,1284,,
