Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314,
00:00:05,5,600,,,489,,These have been swapped yet showing similar patterns to the devices in their last locations!
00:00:10,10,600,,,490,,"302 on left, 308 on right"
00:00:15,15,601,,,491,,"This is very promising as it indicates athat there is not an error with the devices, but that simply they have different concentrations across the windowsill. An odd findin to be sure, but one which is founded in evidence here"
00:00:20,20,601,,,490,,
00:00:25,25,601,,,490,,
00:00:30,30,601,,,489,,
00:00:35,35,601,,,488,,
00:00:40,40,601,,,488,,
00:00:45,45,600,,,486,,
00:00:50,50,600,,,484,,
00:00:55,55,600,,,484,,
00:01:00,60,600,,,484,,
00:01:05,65,600,,,484,,
00:01:10,70,600,,,483,,
00:01:15,75,600,,,483,,
00:01:20,80,600,,,482,,
00:01:25,85,600,,,482,,
00:01:30,90,600,,,480,,
00:01:35,95,601,,,484,,
00:01:40,100,601,,,491,,
00:01:45,105,602,,,498,,
00:01:50,110,602,,,502,,
00:01:55,115,604,,,505,,
00:02:00,120,604,,,513,,
00:02:05,125,604,,,514,,
00:02:10,130,605,,,513,,
00:02:15,135,606,,,512,,
00:02:20,140,606,,,512,,
00:02:25,145,606,,,512,,
00:02:30,150,607,,,510,,
00:02:35,155,606,,,506,,
00:02:40,160,606,,,505,,
00:02:45,165,605,,,503,,
00:02:50,170,605,,,503,,
00:02:55,175,604,,,502,,
00:03:00,180,604,,,500,,
00:03:05,185,603,,,497,,
00:03:10,190,604,,,495,,
00:03:15,195,603,,,492,,
00:03:20,200,603,,,490,,
00:03:25,205,604,,,489,,
00:03:30,210,605,,,486,,
00:03:35,215,606,,,486,,
00:03:40,220,610,,,485,,
00:03:45,225,615,,,486,,
00:03:50,230,617,,,487,,
00:03:55,235,620,,,487,,
00:04:00,240,620,,,486,,
00:04:05,245,619,,,486,,
00:04:10,250,616,,,486,,
00:04:15,255,616,,,485,,
00:04:20,260,614,,,484,,
00:04:25,265,612,,,483,,
00:04:30,270,610,,,483,,
00:04:35,275,609,,,482,,
00:04:40,280,608,,,482,,
00:04:45,285,607,,,480,,
00:04:50,290,606,,,480,,
00:04:55,295,606,,,480,,
00:05:00,300,607,,,479,,
00:05:05,305,607,,,478,,
00:05:10,310,607,,,478,,
00:05:15,315,606,,,478,,
00:05:20,320,606,,,478,,
00:05:25,325,606,,,479,,
00:05:30,330,604,,,482,,
00:05:35,335,604,,,483,,
00:05:40,340,603,,,484,,
00:05:45,345,603,,,484,,
00:05:50,350,603,,,484,,
00:05:55,355,602,,,484,,
00:06:00,360,601,,,484,,
00:06:05,365,601,,,484,,
00:06:10,370,601,,,484,,
00:06:15,375,601,,,484,,
00:06:20,380,601,,,484,,
00:06:25,385,601,,,484,,
00:06:30,390,601,,,484,,
00:06:35,395,601,,,483,,
00:06:40,400,601,,,483,,
00:06:45,405,601,,,482,,
00:06:50,410,601,,,483,,
00:06:55,415,601,,,484,,
00:07:00,420,601,,,484,,
00:07:05,425,601,,,484,,
00:07:10,430,602,,,483,,
00:07:15,435,602,,,483,,
00:07:20,440,602,,,483,,
00:07:25,445,603,,,482,,
00:07:30,450,604,,,481,,
00:07:35,455,604,,,481,,
00:07:40,460,605,,,481,,
00:07:45,465,605,,,481,,
00:07:50,470,605,,,482,,
00:07:55,475,604,,,483,,
00:08:00,480,604,,,484,,
00:08:05,485,604,,,488,,
00:08:10,490,604,,,490,,
00:08:15,495,604,,,493,,
00:08:20,500,605,,,493,,
00:08:25,505,605,,,493,,
00:08:30,510,605,,,492,,
00:08:35,515,604,,,491,,
00:08:40,520,604,,,488,,
00:08:45,525,604,,,488,,
00:08:50,530,604,,,488,,
00:08:55,535,605,,,495,,
00:09:00,540,605,,,498,,
00:09:05,545,606,,,500,,
00:09:10,550,606,,,502,,
00:09:15,555,606,,,502,,
00:09:20,560,609,,,502,,
00:09:25,565,611,,,506,,
00:09:30,570,612,,,508,,
00:09:35,575,612,,,508,,
00:09:40,580,611,,,508,,
00:09:45,585,611,,,507,,
00:09:50,590,610,,,506,,
00:09:55,595,610,,,506,,
00:10:00,600,609,,,504,,
00:10:05,605,609,,,504,,
00:10:10,610,609,,,505,,
00:10:15,615,609,,,507,,
00:10:20,620,608,,,508,,
00:10:25,625,608,,,512,,
00:10:30,630,608,,,516,,
00:10:35,635,609,,,519,,
00:10:40,640,609,,,519,,
00:10:45,645,608,,,517,,
00:10:50,650,608,,,514,,
00:10:55,655,607,,,511,,
00:11:00,660,607,,,508,,
00:11:05,665,607,,,506,,
00:11:10,670,607,,,504,,
00:11:15,675,606,,,502,,
00:11:20,680,606,,,500,,
00:11:25,685,606,,,498,,
00:11:30,690,606,,,496,,
00:11:35,695,606,,,495,,
00:11:40,700,607,,,495,,
00:11:45,705,611,,,495,,
00:11:50,710,615,,,496,,
00:11:55,715,618,,,497,,
00:12:00,720,619,,,498,,
00:12:05,725,619,,,498,,
00:12:10,730,618,,,497,,
00:12:15,735,618,,,496,,
00:12:20,740,617,,,496,,
00:12:25,745,617,,,496,,
00:12:30,750,615,,,496,,
00:12:35,755,615,,,496,,
00:12:40,760,614,,,495,,
00:12:45,765,613,,,494,,
00:12:50,770,612,,,493,,
00:12:55,775,612,,,493,,
00:13:00,780,612,,,493,,
00:13:05,785,611,,,493,,
00:13:10,790,611,,,492,,
00:13:15,795,611,,,493,,
00:13:20,800,611,,,493,,
00:13:25,805,610,,,493,,
00:13:30,810,610,,,497,,
00:13:35,815,609,,,498,,
00:13:40,820,608,,,499,,
00:13:45,825,608,,,498,,
00:13:50,830,608,,,498,,
00:13:55,835,608,,,496,,
00:14:00,840,607,,,495,,
00:14:05,845,607,,,495,,
00:14:10,850,607,,,493,,
00:14:15,855,607,,,492,,
00:14:20,860,607,,,490,,
00:14:25,865,607,,,491,,
00:14:30,870,607,,,494,,
00:14:35,875,606,,,501,,
00:14:40,880,606,,,505,,
00:14:45,885,606,,,506,,
00:14:50,890,606,,,507,,
00:14:55,895,606,,,506,,
00:15:00,900,605,,,505,,
00:15:05,905,605,,,505,,
00:15:10,910,605,,,505,,
00:15:15,915,605,,,508,,
00:15:20,920,606,,,513,,
00:15:25,925,606,,,516,,
00:15:30,930,604,,,517,,
00:15:35,935,603,,,518,,
00:15:40,940,603,,,517,,
00:15:45,945,602,,,515,,
00:15:50,950,602,,,513,,
00:15:55,955,602,,,510,,
00:16:00,960,602,,,508,,
00:16:05,965,601,,,506,,
00:16:10,970,601,,,504,,
00:16:15,975,601,,,503,,
00:16:20,980,601,,,501,,
00:16:25,985,601,,,500,,
00:16:30,990,601,,,498,,
00:16:35,995,601,,,496,,
00:16:40,1000,601,,,495,,
00:16:45,1005,601,,,498,,
00:16:50,1010,601,,,501,,
00:16:55,1015,601,,,505,,
00:17:00,1020,601,,,510,,
00:17:05,1025,601,,,511,,
00:17:10,1030,602,,,510,,
00:17:15,1035,602,,,510,,
00:17:20,1040,603,,,511,,
00:17:25,1045,603,,,517,,
00:17:30,1050,603,,,517,,
00:17:35,1055,603,,,517,,
00:17:40,1060,603,,,516,,
00:17:45,1065,603,,,514,,
00:17:50,1070,603,,,510,,
00:17:55,1075,603,,,508,,
00:18:00,1080,603,,,506,,
00:18:05,1085,603,,,503,,
00:18:10,1090,602,,,502,,
00:18:15,1095,602,,,499,,
