Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314,,
00:00:05,5,697,,,553,505,,in CAD lab
00:00:10,10,697,,,552,505,,
00:00:15,15,697,,,552,505,,
00:00:20,20,697,,,552,505,,
00:00:25,25,697,,,553,506,,
00:00:30,30,697,,,553,506,,
00:00:35,35,696,,,553,507,,
00:00:40,40,696,,,553,507,,
00:00:45,45,696,,,553,507,,
00:00:50,50,696,,,553,507,,
00:00:55,55,695,,,553,508,,
00:01:00,60,695,,,554,508,,
00:01:05,65,695,,,554,508,,
00:01:10,70,695,,,554,508,,
00:01:15,75,695,,,554,508,,
00:01:20,80,695,,,554,508,,
00:01:25,85,694,,,555,508,,
00:01:30,90,694,,,555,508,,
00:01:35,95,694,,,555,507,,
00:01:40,100,694,,,555,507,,
00:01:45,105,694,,,554,507,,
00:01:50,110,694,,,554,508,,
00:01:55,115,694,,,553,507,,
00:02:00,120,694,,,553,508,,
00:02:05,125,694,,,553,508,,
00:02:10,130,694,,,553,508,,
00:02:15,135,694,,,553,507,,
00:02:20,140,693,,,553,507,,
00:02:25,145,693,,,553,507,,
00:02:30,150,693,,,553,507,,
00:02:35,155,693,,,553,507,,
00:02:40,160,693,,,553,507,,
00:02:45,165,693,,,553,507,,
00:02:50,170,693,,,553,507,,
00:02:55,175,693,,,553,507,,
00:03:00,180,693,,,553,507,,
00:03:05,185,692,,,553,507,,
00:03:10,190,692,,,553,507,,
00:03:15,195,692,,,555,507,,
00:03:20,200,692,,,557,507,,
00:03:25,205,692,,,562,506,,
00:03:30,210,692,,,565,507,,
00:03:35,215,692,,,568,509,,
00:03:40,220,693,,,571,509,,
00:03:45,225,693,,,572,509,,
00:03:50,230,693,,,573,509,,
00:03:55,235,694,,,573,509,,
00:04:00,240,694,,,572,510,,
00:04:05,245,694,,,571,510,,
00:04:10,250,694,,,570,510,,
00:04:15,255,694,,,568,509,,
00:04:20,260,694,,,567,509,,
00:04:25,265,695,,,567,509,,
00:04:30,270,695,,,566,509,,
00:04:35,275,696,,,565,509,,
00:04:40,280,696,,,564,509,,
00:04:45,285,696,,,562,509,,
00:04:50,290,695,,,561,509,,
00:04:55,295,695,,,560,508,,
00:05:00,300,696,,,558,509,,
00:05:05,305,696,,,558,509,,
00:05:10,310,697,,,558,509,,
00:05:15,315,697,,,557,508,,
00:05:20,320,697,,,557,508,,
00:05:25,325,697,,,557,507,,
00:05:30,330,696,,,558,507,,
00:05:35,335,697,,,558,507,,
00:05:40,340,696,,,558,506,,
00:05:45,345,696,,,558,506,,
00:05:50,350,695,,,558,505,,
00:05:55,355,696,,,558,505,,
00:06:00,360,697,,,558,505,,
00:06:05,365,695,,,558,505,,
00:06:10,370,695,,,557,505,,
00:06:15,375,694,,,556,504,,
00:06:20,380,692,,,556,504,,
00:06:25,385,692,,,554,505,,
00:06:30,390,692,,,554,505,,
00:06:35,395,692,,,553,503,,
00:06:40,400,693,,,553,503,,
00:06:45,405,693,,,552,502,,
00:06:50,410,694,,,553,501,,
00:06:55,415,694,,,553,501,,
00:07:00,420,694,,,553,501,,
00:07:05,425,694,,,553,501,,
00:07:10,430,694,,,553,500,,
00:07:15,435,694,,,553,500,,
00:07:20,440,694,,,553,501,,
00:07:25,445,694,,,552,502,,
00:07:30,450,694,,,552,501,,
00:07:35,455,694,,,552,502,,
00:07:40,460,694,,,552,503,,
00:07:45,465,694,,,552,504,,
00:07:50,470,693,,,552,505,,
00:07:55,475,693,,,552,505,,
00:08:00,480,693,,,552,506,,
00:08:05,485,693,,,552,505,,
00:08:10,490,693,,,552,505,,
00:08:15,495,692,,,552,505,,
00:08:20,500,692,,,553,504,,
00:08:25,505,692,,,554,503,,
00:08:30,510,692,,,557,502,,
00:08:35,515,692,,,559,503,,
00:08:40,520,692,,,561,503,,
00:08:45,525,692,,,563,503,,
00:08:50,530,691,,,564,503,,
00:08:55,535,691,,,565,503,,
00:09:00,540,691,,,565,503,,
00:09:05,545,691,,,565,504,,
00:09:10,550,691,,,565,503,,
00:09:15,555,689,,,564,504,,
00:09:20,560,689,,,564,506,,
00:09:25,565,690,,,563,505,,
00:09:30,570,690,,,561,506,,
00:09:35,575,690,,,562,505,,
00:09:40,580,690,,,561,506,,
00:09:45,585,691,,,560,506,,
00:09:50,590,691,,,559,507,,
00:09:55,595,691,,,559,507,,
00:10:00,600,691,,,558,506,,
00:10:05,605,692,,,556,506,,
00:10:10,610,692,,,555,506,,
00:10:15,615,691,,,555,506,,
00:10:20,620,690,,,554,506,,
00:10:25,625,690,,,554,507,,
00:10:30,630,691,,,554,505,,
00:10:35,635,692,,,553,505,,
00:10:40,640,693,,,553,505,,
00:10:45,645,693,,,553,505,,
00:10:50,650,694,,,553,505,,
00:10:55,655,694,,,553,505,,
00:11:00,660,694,,,553,505,,
00:11:05,665,695,,,553,504,,
00:11:10,670,695,,,553,504,,
00:11:15,675,694,,,553,503,,
00:11:20,680,694,,,553,503,,
00:11:25,685,693,,,553,504,,
00:11:30,690,692,,,553,504,,
00:11:35,695,692,,,553,504,,
00:11:40,700,692,,,553,504,,
00:11:45,705,691,,,552,505,,
00:11:50,710,691,,,552,505,,
00:11:55,715,690,,,552,505,,
00:12:00,720,691,,,552,505,,
00:12:05,725,690,,,552,505,,
00:12:10,730,690,,,552,505,,
00:12:15,735,689,,,552,505,,
00:12:20,740,689,,,552,505,,
00:12:25,745,689,,,552,505,,
00:12:30,750,689,,,552,506,,
00:12:35,755,690,,,552,506,,
00:12:40,760,690,,,552,506,,
00:12:45,765,691,,,552,506,,
00:12:50,770,690,,,552,506,,
00:12:55,775,690,,,552,505,,
00:13:00,780,690,,,552,505,,
00:13:05,785,691,,,552,505,,
00:13:10,790,691,,,552,506,,
00:13:15,795,692,,,552,506,,
00:13:20,800,693,,,552,506,,
00:13:25,805,693,,,552,507,,
00:13:30,810,693,,,552,508,,
00:13:35,815,693,,,552,507,,
00:13:40,820,693,,,558,507,,
00:13:45,825,693,,,563,508,,
00:13:50,830,693,,,567,508,,
00:13:55,835,693,,,641,508,,
00:14:00,840,693,,,764,509,,
