Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314,,
00:00:05,5,798,,,646,609,,last experiemnt - all together in centre of room. Run at same time as test 11
00:00:10,10,797,,,646,608,,CAD LAB
00:00:15,15,798,,,646,606,,
00:00:20,20,798,,,646,601,,
00:00:25,25,798,,,645,601,,
00:00:30,30,798,,,645,601,,
00:00:35,35,798,,,645,600,,
00:00:40,40,799,,,645,599,,
00:00:45,45,798,,,646,597,,
00:00:50,50,798,,,646,597,,
00:00:55,55,799,,,646,597,,
00:01:00,60,799,,,646,597,,
00:01:05,65,799,,,647,596,,
00:01:10,70,798,,,647,596,,
00:01:15,75,798,,,647,596,,
00:01:20,80,798,,,647,596,,
00:01:25,85,799,,,646,595,,
00:01:30,90,799,,,646,594,,
00:01:35,95,800,,,646,594,,
00:01:40,100,801,,,647,594,,
00:01:45,105,801,,,647,594,,
00:01:50,110,801,,,647,593,,
00:01:55,115,800,,,647,593,,
00:02:00,120,800,,,647,593,,
00:02:05,125,800,,,647,593,,
00:02:10,130,800,,,646,593,,
00:02:15,135,800,,,646,593,,
00:02:20,140,801,,,645,593,,
00:02:25,145,801,,,643,593,,
00:02:30,150,802,,,643,593,,
00:02:35,155,802,,,643,593,,
00:02:40,160,802,,,643,592,,
00:02:45,165,802,,,643,592,,
00:02:50,170,802,,,643,592,,
00:02:55,175,802,,,643,592,,
00:03:00,180,802,,,643,592,,
00:03:05,185,802,,,643,592,,
00:03:10,190,801,,,643,593,,
00:03:15,195,800,,,643,592,,
00:03:20,200,800,,,642,592,,
00:03:25,205,799,,,642,592,,
00:03:30,210,799,,,643,592,,
00:03:35,215,799,,,642,592,,
00:03:40,220,799,,,642,593,,
00:03:45,225,798,,,642,593,,
00:03:50,230,799,,,643,593,,
00:03:55,235,799,,,643,592,,
00:04:00,240,799,,,643,592,,
00:04:05,245,798,,,644,593,,
00:04:10,250,798,,,644,593,,
00:04:15,255,798,,,644,593,,
00:04:20,260,798,,,644,592,,
00:04:25,265,798,,,644,592,,
00:04:30,270,798,,,645,591,,
00:04:35,275,798,,,644,591,,
00:04:40,280,798,,,645,590,,
00:04:45,285,798,,,645,589,,
00:04:50,290,797,,,645,589,,
00:04:55,295,797,,,645,588,,
00:05:00,300,797,,,645,589,,
00:05:05,305,797,,,645,589,,
00:05:10,310,797,,,645,589,,
00:05:15,315,797,,,645,589,,
00:05:20,320,797,,,645,589,,
00:05:25,325,797,,,646,589,,
00:05:30,330,797,,,646,589,,
00:05:35,335,798,,,646,589,,
00:05:40,340,798,,,646,589,,
00:05:45,345,798,,,646,588,,
00:05:50,350,798,,,646,588,,
00:05:55,355,798,,,646,588,,
00:06:00,360,798,,,646,587,,
00:06:05,365,798,,,645,587,,
00:06:10,370,798,,,645,587,,
00:06:15,375,798,,,644,587,,
00:06:20,380,797,,,643,588,,
00:06:25,385,796,,,643,588,,
00:06:30,390,796,,,642,588,,
00:06:35,395,796,,,642,588,,
00:06:40,400,796,,,641,589,,
00:06:45,405,796,,,641,589,,
00:06:50,410,796,,,640,590,,
00:06:55,415,795,,,640,590,,
00:07:00,420,795,,,640,590,,
00:07:05,425,796,,,639,591,,
00:07:10,430,795,,,639,591,,
00:07:15,435,795,,,639,591,,
00:07:20,440,795,,,639,591,,
00:07:25,445,794,,,639,591,,
00:07:30,450,794,,,639,591,,
00:07:35,455,794,,,639,591,,
00:07:40,460,793,,,639,592,,
00:07:45,465,793,,,638,592,,
00:07:50,470,793,,,639,593,,
00:07:55,475,793,,,638,593,,
00:08:00,480,794,,,638,593,,
00:08:05,485,794,,,638,593,,
00:08:10,490,794,,,638,593,,
00:08:15,495,794,,,637,593,,
00:08:20,500,794,,,637,593,,
00:08:25,505,794,,,637,593,,
00:08:30,510,794,,,636,593,,
00:08:35,515,794,,,637,593,,
00:08:40,520,794,,,637,591,,
00:08:45,525,794,,,637,590,,
00:08:50,530,794,,,638,589,,
00:08:55,535,795,,,638,586,,
00:09:00,540,795,,,640,584,,
00:09:05,545,796,,,640,584,,
00:09:10,550,796,,,641,582,,
00:09:15,555,799,,,641,581,,
