ID,Seconds Elapsed,Time,One,Two,Three,Four,,,c2,,,,,,
105,520.1,00:08:40,338,302,186,262,,,,,,,,,
106,525.1,00:08:45,338,302,186,262,,,,,,,,,
107,530.1,00:08:50,338,302,186,262,,,,,,,,,
108,535.1,00:08:55,338,302,186,262,,,,,,,,,
109,540.1,00:09:00,338,302,186,262,,,,,,,,,
110,545.1,00:09:05,338,302,186,262,,,,,,,,,
111,550.1,00:09:10,338,302,186,262,,,,,,,,,
112,555.1,00:09:15,338,302,186,262,,,,,,,,,
113,560.1,00:09:20,338,302,186,262,,,,,,,,,
114,565.1,00:09:25,338,302,186,262,,,,,,,,,
115,570.1,00:09:30,338,302,186,262,,,,,,,,,
116,575.1,00:09:35,338,302,186,262,,,,,,,,,
117,580.1,00:09:40,338,302,186,262,,,,,,,,,
118,585.1,00:09:45,338,302,186,262,,,,,,,,,
119,590.1,00:09:50,338,302,186,262,,,,,,,,,
120,595.1,00:09:55,338,302,186,262,,,,,,,,,
121,600.1,00:10:00,338,302,186,262,,,,,,,,,
122,605.1,00:10:05,338,302,186,262,,,,,,,,,
123,610.1,00:10:10,338,302,186,262,,,,,,,,,
124,615.1,00:10:15,338,302,186,262,,,,,,,,,
125,620.1,00:10:20,338,302,186,262,,,,,,,,,
126,625.1,00:10:25,338,302,186,262,,,,,,,,,
127,630.1,00:10:30,338,302,186,262,,,,,,,,,
128,635.1,00:10:35,338,302,186,262,,,,,,,,,
129,640.1,00:10:40,338,302,186,262,,,,,,,,,
130,645.1,00:10:45,338,302,186,262,,,,,,,,,
131,650.1,00:10:50,338,302,186,262,,,,,,,,,
132,655.1,00:10:55,338,302,186,262,,,,,,,,,
133,660.1,00:11:00,338,302,186,262,,,,,,,,,
134,665.1,00:11:05,338,302,186,262,,,,,,,,,
135,670.1,00:11:10,338,302,186,262,,,,,,,,,
136,675.1,00:11:15,338,302,186,262,,,,,,,,,
137,680.1,00:11:20,338,302,186,262,,,,,,,,,
138,685.1,00:11:25,338,302,186,262,,,,,,,,,
139,690.1,00:11:30,338,302,186,262,,,,,,,,,
140,695.1,00:11:35,338,302,186,262,,,,,,,,,
141,700.1,00:11:40,338,302,186,262,,,,,,,,,
142,705.1,00:11:45,338,302,186,262,,,,,,,,,
143,710.1,00:11:50,338,302,186,262,,,,,,,,,
144,715.1,00:11:55,338,302,186,262,,,,,,,,,
145,720.1,00:12:00,338,302,186,262,,,,,,,,,
146,725.1,00:12:05,338,302,186,262,,,,,,,,,
147,730.1,00:12:10,338,302,186,262,,,,,,,,,
148,735.1,00:12:15,338,302,186,262,,,,,,,,,
149,740.1,00:12:20,338,302,186,262,,,,,,,,,
150,745.1,00:12:25,338,302,186,262,,,,,,,,,
151,750.1,00:12:30,338,302,186,262,,,,,,,,,
152,755.1,00:12:35,338,302,186,262,,,,,,,,,
153,760.1,00:12:40,338,302,186,262,,,,,,,,,
154,765.1,00:12:45,338,302,186,262,,,,,,,,,
155,770.1,00:12:50,338,302,186,262,,,,,,,,,
156,775.1,00:12:55,338,302,186,262,,,,,,,,,
157,780.1,00:13:00,338,302,186,262,,,,,,,,,
158,785.1,00:13:05,338,302,186,262,,,,,,,,,
159,790.1,00:13:10,338,302,186,262,,,,,,,,,
160,795.1,00:13:15,338,302,186,262,,,,,,,,,
161,800.1,00:13:20,338,302,186,262,,,,,,,,,
162,805.1,00:13:25,338,302,186,262,,,,,,,,,
163,810.1,00:13:30,338,302,186,262,,,,,,,,,
164,815.1,00:13:35,338,302,186,262,,,,,,,,,
165,820.1,00:13:40,338,302,186,262,,,,,,,,,
166,825.1,00:13:45,338,302,186,262,,,,,,,,,
167,830.1,00:13:50,338,302,186,262,,,,,,,,,
168,835.1,00:13:55,338,302,186,262,,,,,,,,,
169,840.1,00:14:00,338,302,186,262,,,,,,,,,
170,845.1,00:14:05,338,302,186,262,,,,,,,,,
171,850.1,00:14:10,338,302,186,262,,,,,,,,,
172,855.1,00:14:15,338,302,186,262,,,,,,,,,
173,860.1,00:14:20,338,302,186,262,,,,,,,,,
174,865.1,00:14:25,338,302,186,262,,,,,,,,,
175,870.1,00:14:30,338,302,186,262,,,,,,,,,
176,875.1,00:14:35,338,302,186,262,,,,,,,,,
177,880.1,00:14:40,338,302,186,262,,,,,,,,,
178,885.1,00:14:45,338,302,186,262,,,,,,,,,
179,890.1,00:14:50,338,302,186,262,,,,,,,,,
180,895.1,00:14:55,338,302,186,262,,,,,,,,,
181,900.1,00:15:00,338,302,186,262,,,,,,,,,
182,905.1,00:15:05,338,302,186,262,,,,,,,,,
183,910.1,00:15:10,338,302,186,262,,,,,,,,,
184,915.1,00:15:15,338,302,186,262,,,,,,,,,
185,920.1,00:15:20,338,302,186,262,,,,,,,,,
186,925.1,00:15:25,338,302,176,262,,,,,,,,,
187,930.1,00:15:30,338,302,176,262,,,,,,,,,
188,935.1,00:15:35,338,302,176,262,,,,,,,,,
189,940.1,00:15:40,338,302,176,262,,,,,,,,,
190,945.1,00:15:45,328,302,176,262,,,,,,,,,
191,950.1,00:15:50,328,302,176,262,,,,,,,,,
192,955.1,00:15:55,328,302,176,262,,,,,,,,,
193,960.1,00:16:00,328,302,176,262,,,,,,,,,
194,965.1,00:16:05,328,302,176,262,,,,,,,,,
195,970.1,00:16:10,328,302,176,262,,,,,,,,,
196,975.1,00:16:15,328,302,176,262,,,,,,,,,
197,980.1,00:16:20,328,302,176,262,,,,,,,,,
198,985.1,00:16:25,328,302,176,262,,,,,,,,,
199,990.1,00:16:30,328,302,176,262,,,,,,,,,
200,995.1,00:16:35,328,302,176,262,,,,,,,,,
201,1000.1,00:16:40,328,302,176,262,,,,,,,,,
202,1005.1,00:16:45,328,302,176,262,,,,,,,,,
203,1010.1,00:16:50,328,302,176,262,,,,,,,,,
204,1015.1,00:16:55,328,302,176,262,,,,,,,,,
205,1020.1,00:17:00,328,302,176,262,,,,,,,,,
206,1025.1,00:17:05,328,302,176,262,,,,,,,,,
207,1030.1,00:17:10,328,302,176,262,,,,,,,,,
208,1035.1,00:17:15,328,302,176,262,,,,,,,,,
209,1040.1,00:17:20,328,302,176,262,,,,,,,,,
210,1045.1,00:17:25,328,302,176,262,,,,,,,,,
211,1050.1,00:17:30,328,302,176,262,,,,,,,,,
212,1055.1,00:17:35,328,302,176,262,,,,,,,,,
213,1060.1,00:17:40,328,302,176,262,,,,,,,,,
214,1065.1,00:17:45,328,302,176,262,,,,,,,,,
215,1070.1,00:17:50,328,302,176,262,,,,,,,,,
216,1075.1,00:17:55,328,302,176,262,,,,,,,,,
217,1080.1,00:18:00,328,302,176,262,,,,,,,,,
218,1085.1,00:18:05,328,302,176,262,,,,,,,,,
219,1090.1,00:18:10,328,302,176,262,,,,,,,,,
220,1095.1,00:18:15,328,302,176,262,,,,,,,,,
221,1100.1,00:18:20,328,302,176,262,,,,,,,,,
222,1105.1,00:18:25,328,302,176,262,,,,,,,,,
223,1110.1,00:18:30,328,302,176,262,,,,,,,,,
224,1115.1,00:18:35,328,302,176,262,,,,,,,,,
225,1120.1,00:18:40,328,302,176,262,,,,,,,,,
226,1125.1,00:18:45,328,302,176,262,,,,,,,,,
227,1130.1,00:18:50,328,302,176,262,,,,,,,,,
228,1135.1,00:18:55,328,302,176,262,,,,,,,,,
229,1140.1,00:19:00,328,302,176,262,,,,,,,,,
230,1145.1,00:19:05,328,302,176,262,,,,,,,,,
231,1150.1,00:19:10,328,302,176,262,,,,,,,,,
232,1155.1,00:19:15,328,302,176,262,,,,,,,,,
233,1160.1,00:19:20,328,302,176,262,,,,,,,,,
234,1165.1,00:19:25,328,302,176,262,,,,,,,,,
235,1170.1,00:19:30,328,302,176,262,,,,,,,,,
236,1175.1,00:19:35,328,302,176,262,,,,,,,,,
237,1180.1,00:19:40,328,302,176,262,,,,,,,,,
238,1185.1,00:19:45,328,302,176,262,,,,,,,,,
239,1190.1,00:19:50,328,302,176,262,,,,,,,,,
240,1195.1,00:19:55,328,302,176,262,,,,,,,,,
