ID,Time,Seconds Elapsed,One,Two,Three,Four,,,,,c5,,,,,,
98,00:08:05,485.1,453,417,280,356,,,,,,,,,,,
99,00:08:10,490.1,453,417,280,356,,,,,,,,,,,
100,00:08:15,495.1,453,417,280,357,,,,,,,,,,,
101,00:08:20,500.1,453,417,280,356,,,,,,,,,,,
102,00:08:25,505.1,453,417,280,356,,,,,,,,,,,
103,00:08:30,510.1,453,417,280,356,,,,,,,,,,,
104,00:08:35,515.1,453,417,280,356,,,,,,,,,,,
105,00:08:40,520.1,453,417,280,356,,,,,,,,,,,
106,00:08:45,525.1,453,417,280,356,,,,,,,,,,,
107,00:08:50,530.1,453,417,280,356,,,,,,,,,,,
108,00:08:55,535.1,453,417,280,356,,,,,,,,,,,
109,00:09:00,540.1,453,417,280,356,,,,,,,,,,,
110,00:09:05,545.1,453,417,280,356,,,,,,,,,,,
111,00:09:10,550.1,453,417,280,356,,,,,,,,,,,
112,00:09:15,555.1,453,417,280,356,,,,,,,,,,,
113,00:09:20,560.1,453,406,280,356,,,,,,,,,,,
114,00:09:25,565.1,453,406,280,356,,,,,,,,,,,
115,00:09:30,570.1,453,406,280,356,,,,,,,,,,,
116,00:09:35,575.1,453,406,280,356,,,,,,,,,,,
117,00:09:40,580.1,453,406,280,356,,,,,,,,,,,
118,00:09:45,585.1,453,406,280,356,,,,,,,,,,,
119,00:09:50,590.1,453,406,280,356,,,,,,,,,,,
120,00:09:55,595.1,453,406,280,356,,,,,,,,,,,
121,00:10:00,600.1,453,406,280,356,,,,,,,,,,,
122,00:10:05,605.1,453,406,280,356,,,,,,,,,,,
123,00:10:10,610.1,453,406,280,356,,,,,,,,,,,
124,00:10:15,615.1,453,406,280,356,,,,,,,,,,,
125,00:10:20,620.1,453,406,280,356,,,,,,,,,,,
126,00:10:25,625.1,453,406,280,356,,,,,,,,,,,
127,00:10:30,630.1,453,406,280,356,,,,,,,,,,,
128,00:10:35,635.1,453,406,280,356,,,,,,,,,,,
129,00:10:40,640.1,453,406,280,356,,,,,,,,,,,
130,00:10:45,645.1,453,406,280,356,,,,,,,,,,,
131,00:10:50,650.1,453,406,280,356,,,,,,,,,,,
132,00:10:55,655.1,453,406,280,356,,,,,,,,,,,
133,00:11:00,660.1,453,406,280,356,,,,,,,,,,,
134,00:11:05,665.1,453,406,280,356,,,,,,,,,,,
135,00:11:10,670.1,453,406,280,356,,,,,,,,,,,
136,00:11:15,675.1,453,406,280,356,,,,,,,,,,,
137,00:11:20,680.1,453,406,280,356,,,,,,,,,,,
138,00:11:25,685.1,453,406,280,356,,,,,,,,,,,
139,00:11:30,690.1,453,406,280,356,,,,,,,,,,,
140,00:11:35,695.1,453,406,280,356,,,,,,,,,,,
141,00:11:40,700.1,453,406,280,346,,,,,,,,,,,
142,00:11:45,705.1,453,406,270,346,,,,,,,,,,,
143,00:11:50,710.1,453,406,270,346,,,,,,,,,,,
144,00:11:55,715.1,453,406,270,346,,,,,,,,,,,
145,00:12:00,720.1,453,406,270,346,,,,,,,,,,,
146,00:12:05,725.1,453,406,270,346,,,,,,,,,,,
147,00:12:10,730.1,453,406,270,346,,,,,,,,,,,
148,00:12:15,735.1,453,406,270,346,,,,,,,,,,,
149,00:12:20,740.1,453,406,270,346,,,,,,,,,,,
150,00:12:25,745.1,453,406,270,346,,,,,,,,,,,
