ID,Time,Seconds Elapsed,One,Two,Three,Four,,,Test C1 - oVernight,,,,,,
104,00:08:35,515.1,359,312,186,283,,,,,,,,,
105,00:08:40,520.1,359,312,186,283,,,,,,,,,
106,00:08:45,525.1,359,312,186,283,,,,,,,,,
107,00:08:50,530.1,359,312,186,283,,,,,,,,,
108,00:08:55,535.1,359,312,186,283,,,,,,,,,
109,00:09:00,540.1,359,312,186,283,,,,,,,,,
110,00:09:05,545.1,359,312,186,283,,,,,,,,,
111,00:09:10,550.1,359,312,186,283,,,,,,,,,
112,00:09:15,555.1,359,312,186,283,,,,,,,,,
113,00:09:20,560.1,359,312,186,283,,,,,,,,,
114,00:09:25,565.1,359,312,186,283,,,,,,,,,
115,00:09:30,570.1,359,312,186,283,,,,,,,,,
116,00:09:35,575.1,359,312,186,283,,,,,,,,,
117,00:09:40,580.1,359,312,186,283,,,,,,,,,
118,00:09:45,585.1,359,312,186,283,,,,,,,,,
119,00:09:50,590.1,359,312,186,283,,,,,,,,,
120,00:09:55,595.1,359,312,186,283,,,,,,,,,
121,00:10:00,600.1,359,312,186,283,,,,,,,,,
122,00:10:05,605.1,359,312,186,283,,,,,,,,,
123,00:10:10,610.1,359,312,186,283,,,,,,,,,
124,00:10:15,615.1,359,312,186,283,,,,,,,,,
125,00:10:20,620.1,359,312,186,283,,,,,,,,,
126,00:10:25,625.1,359,312,186,283,,,,,,,,,
127,00:10:30,630.1,359,312,186,283,,,,,,,,,
128,00:10:35,635.1,359,312,186,283,,,,,,,,,
129,00:10:40,640.1,359,312,186,283,,,,,,,,,
130,00:10:45,645.1,359,312,186,283,,,,,,,,,
131,00:10:50,650.1,359,312,186,283,,,,,,,,,
132,00:10:55,655.1,359,312,186,283,,,,,,,,,
133,00:11:00,660.1,359,312,186,283,,,,,,,,,
134,00:11:05,665.1,359,312,186,283,,,,,,,,,
135,00:11:10,670.1,359,312,186,283,,,,,,,,,
136,00:11:15,675.1,359,312,186,283,,,,,,,,,
137,00:11:20,680.1,359,312,186,283,,,,,,,,,
138,00:11:25,685.1,359,312,186,283,,,,,,,,,
139,00:11:30,690.1,359,312,186,283,,,,,,,,,
140,00:11:35,695.1,359,312,186,283,,,,,,,,,
141,00:11:40,700.1,359,312,186,283,,,,,,,,,
142,00:11:45,705.1,359,312,186,283,,,,,,,,,
143,00:11:50,710.1,359,312,186,283,,,,,,,,,
144,00:11:55,715.1,359,312,186,283,,,,,,,,,
145,00:12:00,720.1,359,312,186,283,,,,,,,,,
146,00:12:05,725.1,359,312,186,283,,,,,,,,,
147,00:12:10,730.1,359,312,186,283,,,,,,,,,
148,00:12:15,735.1,359,312,186,283,,,,,,,,,
149,00:12:20,740.1,359,312,186,283,,,,,,,,,
150,00:12:25,745.1,359,312,186,283,,,,,,,,,
151,00:12:30,750.1,359,312,186,283,,,,,,,,,
152,00:12:35,755.1,359,312,186,283,,,,,,,,,
153,00:12:40,760.1,359,312,186,283,,,,,,,,,
154,00:12:45,765.1,359,312,186,283,,,,,,,,,
155,00:12:50,770.1,359,312,186,283,,,,,,,,,
156,00:12:55,775.1,359,312,186,283,,,,,,,,,
157,00:13:00,780.1,359,312,186,283,,,,,,,,,
158,00:13:05,785.1,359,312,186,283,,,,,,,,,
159,00:13:10,790.1,359,312,186,283,,,,,,,,,
160,00:13:15,795.1,359,312,186,283,,,,,,,,,
161,00:13:20,800.1,359,312,186,283,,,,,,,,,
162,00:13:25,805.1,359,312,186,283,,,,,,,,,
163,00:13:30,810.1,359,312,186,283,,,,,,,,,
164,00:13:35,815.1,359,312,186,283,,,,,,,,,
165,00:13:40,820.1,359,312,186,283,,,,,,,,,
166,00:13:45,825.1,359,312,186,283,,,,,,,,,
167,00:13:50,830.1,359,312,186,283,,,,,,,,,
168,00:13:55,835.1,359,312,186,283,,,,,,,,,
169,00:14:00,840.1,359,312,186,283,,,,,,,,,
170,00:14:05,845.1,359,312,186,283,,,,,,,,,
171,00:14:10,850.1,359,312,186,283,,,,,,,,,
172,00:14:15,855.1,359,312,186,284,,,,,,,,,
173,00:14:20,860.1,359,312,186,273,,,,,,,,,
174,00:14:25,865.1,359,312,186,273,,,,,,,,,
175,00:14:30,870.1,359,312,186,273,,,,,,,,,
176,00:14:35,875.1,359,312,186,273,,,,,,,,,
177,00:14:40,880.1,359,312,186,273,,,,,,,,,
178,00:14:45,885.1,349,312,186,273,,,,,,,,,
179,00:14:50,890.1,349,312,186,273,,,,,,,,,
180,00:14:55,895.1,349,312,186,273,,,,,,,,,
181,00:15:00,900.1,349,312,186,273,,,,,,,,,
182,00:15:05,905.1,349,312,186,273,,,,,,,,,
183,00:15:10,910.1,349,312,186,273,,,,,,,,,
184,00:15:15,915.1,349,312,186,273,,,,,,,,,
185,00:15:20,920.1,349,312,186,273,,,,,,,,,
186,00:15:25,925.1,349,312,186,273,,,,,,,,,
187,00:15:30,930.1,349,312,186,273,,,,,,,,,
188,00:15:35,935.1,349,312,186,273,,,,,,,,,
189,00:15:40,940.1,349,312,186,273,,,,,,,,,
190,00:15:45,945.1,349,312,186,273,,,,,,,,,
191,00:15:50,950.1,349,312,186,273,,,,,,,,,
192,00:15:55,955.1,349,312,186,273,,,,,,,,,
