Time,Bar,Central_Column,Salad_Bar,Hot_Counter,Pizza_Counter
12/04/2022 22:16,524 ppm,360 ppm,359 ppm,364 ppm,457 ppm
12/04/2022 22:18,524 ppm,361 ppm,366 ppm,361 ppm,429 ppm
12/04/2022 22:20,524 ppm,358 ppm,366 ppm,362 ppm,409 ppm
12/04/2022 22:22,524 ppm,363 ppm,359 ppm,356 ppm,429 ppm
12/04/2022 22:24,524 ppm,368 ppm,366 ppm,357 ppm,400 ppm
12/04/2022 22:26,524 ppm,368 ppm,363 ppm,360 ppm,387 ppm
12/04/2022 22:28,524 ppm,363 ppm,357 ppm,361 ppm,365 ppm
12/04/2022 22:30,524 ppm,360 ppm,366 ppm,365 ppm,374 ppm
12/04/2022 22:32,524 ppm,364 ppm,367 ppm,359 ppm,362 ppm
12/04/2022 22:34,524 ppm,359 ppm,360 ppm,361 ppm,366 ppm
12/04/2022 22:36,524 ppm,366 ppm,368 ppm,362 ppm,364 ppm
12/04/2022 22:38,524 ppm,364 ppm,364 ppm,364 ppm,368 ppm
12/04/2022 22:40,524 ppm,364 ppm,360 ppm,365 ppm,364 ppm
12/04/2022 22:42,524 ppm,356 ppm,366 ppm,370 ppm,365 ppm
12/04/2022 22:44,524 ppm,360 ppm,358 ppm,357 ppm,365 ppm
12/04/2022 22:46,524 ppm,362 ppm,366 ppm,360 ppm,367 ppm
12/04/2022 22:48,524 ppm,357 ppm,358 ppm,364 ppm,366 ppm
12/04/2022 22:50,524 ppm,361 ppm,363 ppm,363 ppm,358 ppm
12/04/2022 22:52,524 ppm,370 ppm,365 ppm,368 ppm,363 ppm
12/04/2022 22:54,524 ppm,365 ppm,359 ppm,358 ppm,381 ppm
12/04/2022 22:56,524 ppm,363 ppm,364 ppm,360 ppm,369 ppm
12/04/2022 22:58,524 ppm,361 ppm,365 ppm,363 ppm,364 ppm
12/04/2022 23:00,524 ppm,359 ppm,359 ppm,364 ppm,361 ppm
12/04/2022 23:02,524 ppm,365 ppm,367 ppm,364 ppm,366 ppm
12/04/2022 23:04,524 ppm,363 ppm,356 ppm,367 ppm,367 ppm
12/04/2022 23:06,524 ppm,362 ppm,358 ppm,358 ppm,363 ppm
12/04/2022 23:08,524 ppm,364 ppm,365 ppm,366 ppm,376 ppm
12/04/2022 23:10,524 ppm,365 ppm,366 ppm,358 ppm,379 ppm
12/04/2022 23:12,524 ppm,366 ppm,367 ppm,360 ppm,361 ppm
12/04/2022 23:14,524 ppm,363 ppm,361 ppm,359 ppm,365 ppm
12/04/2022 23:16,524 ppm,363 ppm,361 ppm,361 ppm,365 ppm
12/04/2022 23:18,524 ppm,362 ppm,368 ppm,361 ppm,362 ppm
12/04/2022 23:20,524 ppm,361 ppm,363 ppm,358 ppm,362 ppm
12/04/2022 23:22,524 ppm,359 ppm,366 ppm,365 ppm,362 ppm
12/04/2022 23:24,524 ppm,359 ppm,359 ppm,363 ppm,363 ppm
12/04/2022 23:26,524 ppm,365 ppm,363 ppm,361 ppm,372 ppm
12/04/2022 23:28,524 ppm,364 ppm,365 ppm,366 ppm,358 ppm
12/04/2022 23:30,524 ppm,358 ppm,365 ppm,366 ppm,365 ppm
12/04/2022 23:32,524 ppm,364 ppm,366 ppm,358 ppm,365 ppm
12/04/2022 23:34,524 ppm,359 ppm,363 ppm,365 ppm,362 ppm
12/04/2022 23:36,524 ppm,362 ppm,366 ppm,358 ppm,379 ppm
12/04/2022 23:38,524 ppm,359 ppm,365 ppm,364 ppm,446 ppm
12/04/2022 23:40,524 ppm,361 ppm,362 ppm,362 ppm,373 ppm
12/04/2022 23:42,524 ppm,361 ppm,361 ppm,361 ppm,365 ppm
12/04/2022 23:44,524 ppm,362 ppm,361 ppm,363 ppm,363 ppm
12/04/2022 23:46,524 ppm,361 ppm,365 ppm,367 ppm,364 ppm
12/04/2022 23:48,524 ppm,362 ppm,363 ppm,366 ppm,399 ppm
12/04/2022 23:50,524 ppm,358 ppm,362 ppm,364 ppm,362 ppm
12/04/2022 23:52,524 ppm,361 ppm,357 ppm,364 ppm,361 ppm
12/04/2022 23:54,524 ppm,358 ppm,357 ppm,366 ppm,360 ppm
12/04/2022 23:56,524 ppm,362 ppm,363 ppm,366 ppm,358 ppm
12/04/2022 23:58,524 ppm,363 ppm,359 ppm,363 ppm,362 ppm
13/04/2022 00:00,524 ppm,357 ppm,357 ppm,368 ppm,359 ppm
13/04/2022 00:02,524 ppm,363 ppm,366 ppm,365 ppm,366 ppm
13/04/2022 00:04,524 ppm,364 ppm,364 ppm,357 ppm,365 ppm
13/04/2022 00:06,524 ppm,359 ppm,365 ppm,364 ppm,377 ppm
13/04/2022 00:08,524 ppm,360 ppm,364 ppm,357 ppm,485 ppm
13/04/2022 00:10,524 ppm,359 ppm,362 ppm,359 ppm,477 ppm
13/04/2022 00:12,524 ppm,359 ppm,362 ppm,361 ppm,435 ppm
13/04/2022 00:14,524 ppm,360 ppm,365 ppm,358 ppm,363 ppm
13/04/2022 00:16,524 ppm,366 ppm,366 ppm,358 ppm,364 ppm
13/04/2022 00:18,524 ppm,365 ppm,362 ppm,359 ppm,367 ppm
13/04/2022 00:20,524 ppm,364 ppm,367 ppm,359 ppm,426 ppm
13/04/2022 00:22,524 ppm,364 ppm,364 ppm,359 ppm,410 ppm
13/04/2022 00:24,524 ppm,358 ppm,367 ppm,360 ppm,389 ppm
13/04/2022 00:26,524 ppm,357 ppm,365 ppm,359 ppm,363 ppm
13/04/2022 00:28,524 ppm,363 ppm,366 ppm,360 ppm,361 ppm
13/04/2022 00:30,524 ppm,363 ppm,361 ppm,361 ppm,360 ppm
13/04/2022 00:32,524 ppm,363 ppm,359 ppm,361 ppm,365 ppm
13/04/2022 00:34,524 ppm,366 ppm,360 ppm,363 ppm,358 ppm
13/04/2022 00:36,524 ppm,362 ppm,357 ppm,362 ppm,408 ppm
13/04/2022 00:38,524 ppm,362 ppm,363 ppm,365 ppm,360 ppm
13/04/2022 00:40,524 ppm,360 ppm,359 ppm,366 ppm,357 ppm
13/04/2022 00:42,524 ppm,364 ppm,358 ppm,364 ppm,381 ppm
13/04/2022 00:44,524 ppm,363 ppm,363 ppm,362 ppm,357 ppm
13/04/2022 00:46,524 ppm,360 ppm,366 ppm,365 ppm,363 ppm
13/04/2022 00:48,524 ppm,360 ppm,368 ppm,363 ppm,356 ppm
13/04/2022 00:50,524 ppm,368 ppm,358 ppm,366 ppm,370 ppm
13/04/2022 00:52,524 ppm,363 ppm,366 ppm,366 ppm,465 ppm
13/04/2022 00:54,524 ppm,362 ppm,363 ppm,363 ppm,450 ppm
13/04/2022 00:56,524 ppm,361 ppm,364 ppm,364 ppm,366 ppm
13/04/2022 00:58,524 ppm,360 ppm,356 ppm,365 ppm,357 ppm
13/04/2022 01:00,524 ppm,363 ppm,362 ppm,367 ppm,359 ppm
13/04/2022 01:02,524 ppm,361 ppm,361 ppm,368 ppm,360 ppm
13/04/2022 01:04,524 ppm,362 ppm,362 ppm,362 ppm,377 ppm
13/04/2022 01:06,524 ppm,363 ppm,361 ppm,368 ppm,430 ppm
13/04/2022 01:08,524 ppm,361 ppm,359 ppm,367 ppm,365 ppm
13/04/2022 01:10,524 ppm,366 ppm,364 ppm,364 ppm,368 ppm
13/04/2022 01:12,524 ppm,363 ppm,364 ppm,356 ppm,367 ppm
13/04/2022 01:14,524 ppm,359 ppm,365 ppm,359 ppm,366 ppm
13/04/2022 01:16,524 ppm,359 ppm,365 ppm,359 ppm,369 ppm
13/04/2022 01:18,524 ppm,366 ppm,365 ppm,367 ppm,363 ppm
13/04/2022 01:20,524 ppm,363 ppm,364 ppm,366 ppm,358 ppm
13/04/2022 01:22,524 ppm,363 ppm,365 ppm,359 ppm,369 ppm
13/04/2022 01:24,524 ppm,364 ppm,357 ppm,358 ppm,377 ppm
13/04/2022 01:26,524 ppm,365 ppm,363 ppm,360 ppm,366 ppm
13/04/2022 01:28,524 ppm,365 ppm,363 ppm,357 ppm,358 ppm
13/04/2022 01:30,524 ppm,362 ppm,361 ppm,358 ppm,363 ppm
13/04/2022 01:32,524 ppm,364 ppm,366 ppm,358 ppm,363 ppm
13/04/2022 01:34,524 ppm,361 ppm,359 ppm,360 ppm,458 ppm
13/04/2022 01:36,524 ppm,356 ppm,359 ppm,360 ppm,494 ppm
13/04/2022 01:38,524 ppm,363 ppm,365 ppm,358 ppm,379 ppm
13/04/2022 01:40,524 ppm,363 ppm,359 ppm,366 ppm,361 ppm
13/04/2022 01:42,524 ppm,363 ppm,357 ppm,358 ppm,365 ppm
13/04/2022 01:44,524 ppm,362 ppm,361 ppm,359 ppm,374 ppm
13/04/2022 01:46,524 ppm,360 ppm,360 ppm,361 ppm,404 ppm
13/04/2022 01:48,524 ppm,363 ppm,356 ppm,359 ppm,361 ppm
13/04/2022 01:50,524 ppm,367 ppm,365 ppm,361 ppm,365 ppm
13/04/2022 01:52,524 ppm,363 ppm,366 ppm,358 ppm,367 ppm
13/04/2022 01:54,524 ppm,360 ppm,361 ppm,359 ppm,377 ppm
13/04/2022 01:56,524 ppm,364 ppm,361 ppm,361 ppm,394 ppm
13/04/2022 01:58,524 ppm,363 ppm,358 ppm,360 ppm,416 ppm
13/04/2022 02:00,524 ppm,361 ppm,363 ppm,358 ppm,390 ppm
13/04/2022 02:02,524 ppm,360 ppm,369 ppm,360 ppm,377 ppm
13/04/2022 02:04,524 ppm,358 ppm,361 ppm,361 ppm,358 ppm
13/04/2022 02:06,524 ppm,363 ppm,358 ppm,360 ppm,368 ppm
13/04/2022 02:08,524 ppm,366 ppm,366 ppm,365 ppm,366 ppm
13/04/2022 02:10,524 ppm,364 ppm,359 ppm,362 ppm,363 ppm
13/04/2022 02:12,524 ppm,361 ppm,365 ppm,360 ppm,363 ppm
13/04/2022 02:14,524 ppm,362 ppm,368 ppm,360 ppm,356 ppm
13/04/2022 02:16,524 ppm,365 ppm,366 ppm,360 ppm,362 ppm
13/04/2022 02:18,524 ppm,365 ppm,368 ppm,361 ppm,413 ppm
13/04/2022 02:20,524 ppm,357 ppm,361 ppm,364 ppm,382 ppm
13/04/2022 02:22,524 ppm,366 ppm,359 ppm,364 ppm,363 ppm
13/04/2022 02:24,524 ppm,367 ppm,357 ppm,361 ppm,363 ppm
13/04/2022 02:26,524 ppm,367 ppm,361 ppm,362 ppm,358 ppm
13/04/2022 02:28,524 ppm,362 ppm,365 ppm,362 ppm,389 ppm
13/04/2022 02:30,524 ppm,363 ppm,364 ppm,361 ppm,444 ppm
13/04/2022 02:32,524 ppm,365 ppm,369 ppm,365 ppm,417 ppm
13/04/2022 02:34,524 ppm,361 ppm,357 ppm,363 ppm,366 ppm
13/04/2022 02:36,524 ppm,358 ppm,358 ppm,360 ppm,365 ppm
13/04/2022 02:38,524 ppm,359 ppm,365 ppm,362 ppm,360 ppm
13/04/2022 02:40,524 ppm,359 ppm,364 ppm,360 ppm,410 ppm
13/04/2022 02:42,524 ppm,358 ppm,362 ppm,359 ppm,395 ppm
13/04/2022 02:44,524 ppm,356 ppm,358 ppm,362 ppm,369 ppm
13/04/2022 02:46,524 ppm,361 ppm,367 ppm,363 ppm,360 ppm
13/04/2022 02:48,524 ppm,364 ppm,357 ppm,359 ppm,363 ppm
13/04/2022 02:50,524 ppm,364 ppm,364 ppm,357 ppm,368 ppm
13/04/2022 02:52,524 ppm,358 ppm,361 ppm,359 ppm,366 ppm
13/04/2022 02:54,524 ppm,360 ppm,356 ppm,361 ppm,357 ppm
13/04/2022 02:56,524 ppm,361 ppm,364 ppm,362 ppm,361 ppm
13/04/2022 02:58,524 ppm,362 ppm,366 ppm,363 ppm,365 ppm
13/04/2022 03:00,524 ppm,362 ppm,363 ppm,365 ppm,403 ppm
13/04/2022 03:02,524 ppm,364 ppm,359 ppm,365 ppm,556 ppm
13/04/2022 03:04,524 ppm,361 ppm,361 ppm,361 ppm,441 ppm
13/04/2022 03:06,524 ppm,365 ppm,363 ppm,362 ppm,363 ppm
13/04/2022 03:08,524 ppm,365 ppm,360 ppm,363 ppm,364 ppm
13/04/2022 03:10,524 ppm,362 ppm,362 ppm,362 ppm,360 ppm
13/04/2022 03:12,524 ppm,361 ppm,365 ppm,361 ppm,383 ppm
13/04/2022 03:14,524 ppm,363 ppm,365 ppm,363 ppm,508 ppm
13/04/2022 03:16,524 ppm,365 ppm,358 ppm,363 ppm,483 ppm
13/04/2022 03:18,524 ppm,363 ppm,363 ppm,362 ppm,406 ppm
13/04/2022 03:20,524 ppm,358 ppm,360 ppm,363 ppm,361 ppm
13/04/2022 03:22,524 ppm,362 ppm,360 ppm,362 ppm,358 ppm
13/04/2022 03:24,524 ppm,362 ppm,359 ppm,361 ppm,390 ppm
13/04/2022 03:26,524 ppm,366 ppm,368 ppm,361 ppm,435 ppm
13/04/2022 03:28,524 ppm,361 ppm,367 ppm,366 ppm,450 ppm
13/04/2022 03:30,524 ppm,360 ppm,365 ppm,365 ppm,366 ppm
13/04/2022 03:32,524 ppm,364 ppm,358 ppm,364 ppm,365 ppm
13/04/2022 03:34,524 ppm,362 ppm,368 ppm,366 ppm,357 ppm
13/04/2022 03:36,524 ppm,363 ppm,357 ppm,364 ppm,366 ppm
13/04/2022 03:38,524 ppm,360 ppm,366 ppm,363 ppm,387 ppm
13/04/2022 03:40,524 ppm,359 ppm,364 ppm,365 ppm,369 ppm
13/04/2022 03:42,524 ppm,364 ppm,366 ppm,365 ppm,361 ppm
13/04/2022 03:44,524 ppm,363 ppm,363 ppm,365 ppm,382 ppm
13/04/2022 03:46,524 ppm,361 ppm,361 ppm,363 ppm,390 ppm
13/04/2022 03:48,524 ppm,359 ppm,359 ppm,366 ppm,365 ppm
13/04/2022 03:50,524 ppm,363 ppm,359 ppm,364 ppm,356 ppm
13/04/2022 03:52,524 ppm,356 ppm,365 ppm,364 ppm,365 ppm
13/04/2022 03:54,524 ppm,360 ppm,361 ppm,363 ppm,365 ppm
13/04/2022 03:56,524 ppm,361 ppm,365 ppm,364 ppm,528 ppm
13/04/2022 03:58,524 ppm,364 ppm,365 ppm,364 ppm,611 ppm
13/04/2022 04:00,524 ppm,362 ppm,364 ppm,360 ppm,540 ppm
13/04/2022 04:02,524 ppm,361 ppm,356 ppm,364 ppm,396 ppm
13/04/2022 04:04,524 ppm,361 ppm,360 ppm,362 ppm,365 ppm
13/04/2022 04:06,524 ppm,359 ppm,360 ppm,362 ppm,361 ppm
13/04/2022 04:08,524 ppm,359 ppm,362 ppm,364 ppm,362 ppm
13/04/2022 04:10,524 ppm,362 ppm,365 ppm,366 ppm,356 ppm
13/04/2022 04:12,524 ppm,362 ppm,361 ppm,362 ppm,452 ppm
13/04/2022 04:14,524 ppm,365 ppm,359 ppm,364 ppm,364 ppm
13/04/2022 04:16,524 ppm,365 ppm,368 ppm,366 ppm,390 ppm
13/04/2022 04:18,524 ppm,363 ppm,365 ppm,362 ppm,363 ppm
13/04/2022 04:20,524 ppm,363 ppm,365 ppm,361 ppm,402 ppm
13/04/2022 04:22,524 ppm,363 ppm,365 ppm,365 ppm,495 ppm
13/04/2022 04:24,524 ppm,368 ppm,365 ppm,364 ppm,475 ppm
13/04/2022 04:26,524 ppm,362 ppm,365 ppm,363 ppm,383 ppm
13/04/2022 04:28,524 ppm,361 ppm,362 ppm,364 ppm,367 ppm
13/04/2022 04:30,524 ppm,365 ppm,357 ppm,365 ppm,360 ppm
13/04/2022 04:32,524 ppm,361 ppm,364 ppm,364 ppm,368 ppm
13/04/2022 04:34,524 ppm,360 ppm,356 ppm,366 ppm,362 ppm
13/04/2022 04:36,524 ppm,359 ppm,365 ppm,365 ppm,365 ppm
13/04/2022 04:38,524 ppm,360 ppm,358 ppm,365 ppm,363 ppm
13/04/2022 04:40,524 ppm,365 ppm,363 ppm,357 ppm,415 ppm
13/04/2022 04:42,524 ppm,362 ppm,356 ppm,367 ppm,387 ppm
13/04/2022 04:44,524 ppm,364 ppm,366 ppm,364 ppm,360 ppm
13/04/2022 04:46,524 ppm,365 ppm,360 ppm,364 ppm,365 ppm
13/04/2022 04:48,524 ppm,364 ppm,363 ppm,364 ppm,378 ppm
13/04/2022 04:50,524 ppm,363 ppm,359 ppm,360 ppm,385 ppm
13/04/2022 04:52,524 ppm,365 ppm,358 ppm,367 ppm,374 ppm
13/04/2022 04:54,524 ppm,366 ppm,362 ppm,365 ppm,367 ppm
13/04/2022 04:56,524 ppm,367 ppm,362 ppm,356 ppm,359 ppm
13/04/2022 04:58,524 ppm,365 ppm,367 ppm,365 ppm,364 ppm
13/04/2022 05:00,524 ppm,364 ppm,359 ppm,368 ppm,366 ppm
13/04/2022 05:02,524 ppm,361 ppm,360 ppm,364 ppm,362 ppm
13/04/2022 05:04,524 ppm,365 ppm,364 ppm,357 ppm,361 ppm
13/04/2022 05:06,524 ppm,363 ppm,365 ppm,357 ppm,362 ppm
13/04/2022 05:08,524 ppm,358 ppm,360 ppm,357 ppm,448 ppm
13/04/2022 05:10,524 ppm,360 ppm,365 ppm,363 ppm,410 ppm
13/04/2022 05:12,524 ppm,362 ppm,359 ppm,368 ppm,359 ppm
13/04/2022 05:14,524 ppm,363 ppm,359 ppm,366 ppm,358 ppm
13/04/2022 05:16,524 ppm,361 ppm,362 ppm,364 ppm,366 ppm
13/04/2022 05:18,524 ppm,362 ppm,367 ppm,367 ppm,356 ppm
13/04/2022 05:20,524 ppm,362 ppm,365 ppm,360 ppm,370 ppm
13/04/2022 05:22,524 ppm,362 ppm,358 ppm,366 ppm,468 ppm
13/04/2022 05:24,524 ppm,362 ppm,368 ppm,365 ppm,460 ppm
13/04/2022 05:26,524 ppm,363 ppm,363 ppm,362 ppm,363 ppm
13/04/2022 05:28,524 ppm,362 ppm,363 ppm,364 ppm,362 ppm
13/04/2022 05:30,524 ppm,361 ppm,366 ppm,365 ppm,377 ppm
13/04/2022 05:32,524 ppm,361 ppm,361 ppm,365 ppm,417 ppm
13/04/2022 05:34,524 ppm,364 ppm,363 ppm,367 ppm,402 ppm
13/04/2022 05:36,524 ppm,366 ppm,361 ppm,365 ppm,366 ppm
13/04/2022 05:38,524 ppm,368 ppm,358 ppm,365 ppm,364 ppm
13/04/2022 05:40,524 ppm,356 ppm,362 ppm,363 ppm,366 ppm
13/04/2022 05:42,524 ppm,365 ppm,364 ppm,366 ppm,359 ppm
13/04/2022 05:44,524 ppm,365 ppm,366 ppm,362 ppm,364 ppm
13/04/2022 05:46,524 ppm,362 ppm,361 ppm,365 ppm,364 ppm
13/04/2022 05:48,524 ppm,362 ppm,360 ppm,367 ppm,360 ppm
13/04/2022 05:50,524 ppm,366 ppm,366 ppm,363 ppm,487 ppm
13/04/2022 05:52,524 ppm,364 ppm,364 ppm,364 ppm,469 ppm
13/04/2022 05:54,524 ppm,359 ppm,364 ppm,363 ppm,365 ppm
13/04/2022 05:56,524 ppm,361 ppm,363 ppm,363 ppm,364 ppm
13/04/2022 05:58,524 ppm,359 ppm,365 ppm,361 ppm,357 ppm
13/04/2022 06:00,524 ppm,367 ppm,359 ppm,363 ppm,358 ppm
13/04/2022 06:02,524 ppm,360 ppm,363 ppm,363 ppm,380 ppm
13/04/2022 06:04,524 ppm,364 ppm,366 ppm,364 ppm,411 ppm
13/04/2022 06:06,524 ppm,358 ppm,361 ppm,365 ppm,403 ppm
13/04/2022 06:08,524 ppm,367 ppm,363 ppm,360 ppm,390 ppm
13/04/2022 06:10,524 ppm,364 ppm,362 ppm,361 ppm,366 ppm
13/04/2022 06:12,524 ppm,365 ppm,361 ppm,359 ppm,359 ppm
13/04/2022 06:14,524 ppm,362 ppm,365 ppm,368 ppm,366 ppm
13/04/2022 06:16,524 ppm,356 ppm,357 ppm,362 ppm,365 ppm
13/04/2022 06:18,524 ppm,364 ppm,367 ppm,366 ppm,364 ppm
13/04/2022 06:20,524 ppm,357 ppm,362 ppm,363 ppm,367 ppm
13/04/2022 06:22,524 ppm,361 ppm,365 ppm,367 ppm,360 ppm
13/04/2022 06:24,524 ppm,358 ppm,367 ppm,365 ppm,362 ppm
13/04/2022 06:26,524 ppm,361 ppm,357 ppm,361 ppm,359 ppm
13/04/2022 06:28,524 ppm,362 ppm,360 ppm,358 ppm,361 ppm
13/04/2022 06:30,524 ppm,359 ppm,360 ppm,358 ppm,365 ppm
13/04/2022 06:32,524 ppm,362 ppm,363 ppm,365 ppm,363 ppm
13/04/2022 06:34,524 ppm,365 ppm,363 ppm,362 ppm,364 ppm
13/04/2022 06:36,524 ppm,360 ppm,365 ppm,363 ppm,360 ppm
13/04/2022 06:38,524 ppm,365 ppm,365 ppm,359 ppm,361 ppm
13/04/2022 06:40,524 ppm,366 ppm,365 ppm,366 ppm,365 ppm
13/04/2022 06:42,524 ppm,362 ppm,356 ppm,364 ppm,364 ppm
13/04/2022 06:44,524 ppm,360 ppm,366 ppm,365 ppm,367 ppm
13/04/2022 06:46,524 ppm,362 ppm,363 ppm,357 ppm,365 ppm
13/04/2022 06:48,524 ppm,361 ppm,360 ppm,367 ppm,364 ppm
13/04/2022 06:50,524 ppm,363 ppm,359 ppm,361 ppm,365 ppm
13/04/2022 06:52,524 ppm,364 ppm,362 ppm,358 ppm,365 ppm
13/04/2022 06:54,524 ppm,366 ppm,368 ppm,368 ppm,406 ppm
13/04/2022 06:56,524 ppm,362 ppm,364 ppm,366 ppm,455 ppm
13/04/2022 06:58,524 ppm,360 ppm,371 ppm,361 ppm,421 ppm
13/04/2022 07:00,524 ppm,366 ppm,367 ppm,362 ppm,405 ppm
13/04/2022 07:02,524 ppm,356 ppm,367 ppm,360 ppm,385 ppm
13/04/2022 07:04,524 ppm,367 ppm,358 ppm,360 ppm,364 ppm
13/04/2022 07:06,524 ppm,358 ppm,366 ppm,363 ppm,362 ppm
13/04/2022 07:08,524 ppm,366 ppm,370 ppm,357 ppm,358 ppm
13/04/2022 07:10,524 ppm,367 ppm,363 ppm,365 ppm,365 ppm
13/04/2022 07:12,524 ppm,356 ppm,415 ppm,362 ppm,360 ppm
13/04/2022 07:14,524 ppm,356 ppm,403 ppm,361 ppm,366 ppm
13/04/2022 07:16,524 ppm,358 ppm,388 ppm,360 ppm,363 ppm
13/04/2022 07:18,524 ppm,359 ppm,370 ppm,361 ppm,366 ppm
13/04/2022 07:20,524 ppm,359 ppm,363 ppm,362 ppm,366 ppm
13/04/2022 07:22,524 ppm,357 ppm,375 ppm,359 ppm,364 ppm
13/04/2022 07:24,524 ppm,362 ppm,361 ppm,357 ppm,363 ppm
13/04/2022 07:26,524 ppm,363 ppm,358 ppm,364 ppm,363 ppm
13/04/2022 07:28,524 ppm,359 ppm,361 ppm,367 ppm,364 ppm
13/04/2022 07:30,524 ppm,360 ppm,365 ppm,365 ppm,363 ppm
13/04/2022 07:32,524 ppm,360 ppm,360 ppm,365 ppm,367 ppm
13/04/2022 07:34,524 ppm,361 ppm,364 ppm,362 ppm,367 ppm
13/04/2022 07:36,524 ppm,358 ppm,366 ppm,365 ppm,368 ppm
13/04/2022 07:38,524 ppm,361 ppm,366 ppm,361 ppm,359 ppm
13/04/2022 07:40,524 ppm,361 ppm,370 ppm,362 ppm,366 ppm
13/04/2022 07:42,524 ppm,362 ppm,376 ppm,358 ppm,364 ppm
13/04/2022 07:44,524 ppm,360 ppm,366 ppm,361 ppm,361 ppm
13/04/2022 07:46,499 ppm,357 ppm,365 ppm,359 ppm,361 ppm
13/04/2022 07:48,372 ppm,359 ppm,362 ppm,357 ppm,362 ppm
13/04/2022 07:50,364 ppm,363 ppm,372 ppm,358 ppm,363 ppm
13/04/2022 07:52,362 ppm,356 ppm,357 ppm,357 ppm,363 ppm
13/04/2022 07:54,364 ppm,364 ppm,391 ppm,366 ppm,362 ppm
13/04/2022 07:56,361 ppm,363 ppm,383 ppm,365 ppm,361 ppm
13/04/2022 07:58,366 ppm,366 ppm,382 ppm,363 ppm,358 ppm
13/04/2022 08:00,358 ppm,365 ppm,365 ppm,363 ppm,364 ppm
13/04/2022 08:02,360 ppm,365 ppm,361 ppm,363 ppm,368 ppm
13/04/2022 08:04,362 ppm,356 ppm,378 ppm,364 ppm,363 ppm
13/04/2022 08:06,365 ppm,372 ppm,382 ppm,365 ppm,365 ppm
13/04/2022 08:08,363 ppm,361 ppm,359 ppm,365 ppm,363 ppm
13/04/2022 08:10,366 ppm,363 ppm,365 ppm,365 ppm,362 ppm
13/04/2022 08:12,367 ppm,357 ppm,360 ppm,367 ppm,360 ppm
13/04/2022 08:14,365 ppm,358 ppm,359 ppm,364 ppm,375 ppm
13/04/2022 08:16,367 ppm,360 ppm,364 ppm,367 ppm,373 ppm
13/04/2022 08:18,358 ppm,366 ppm,357 ppm,364 ppm,383 ppm
13/04/2022 08:20,358 ppm,361 ppm,368 ppm,364 ppm,356 ppm
13/04/2022 08:22,357 ppm,365 ppm,370 ppm,364 ppm,362 ppm
13/04/2022 08:24,364 ppm,365 ppm,367 ppm,362 ppm,363 ppm
13/04/2022 08:26,366 ppm,359 ppm,363 ppm,364 ppm,880 ppm
13/04/2022 08:28,361 ppm,364 ppm,384 ppm,358 ppm,870 ppm
13/04/2022 08:30,365 ppm,366 ppm,367 ppm,361 ppm,831 ppm
13/04/2022 08:32,359 ppm,364 ppm,364 ppm,364 ppm,731 ppm
13/04/2022 08:34,362 ppm,359 ppm,374 ppm,363 ppm,489 ppm
13/04/2022 08:36,365 ppm,366 ppm,379 ppm,362 ppm,363 ppm
13/04/2022 08:38,366 ppm,359 ppm,370 ppm,368 ppm,370 ppm
13/04/2022 08:40,363 ppm,365 ppm,364 ppm,367 ppm,466 ppm
13/04/2022 08:42,359 ppm,363 ppm,381 ppm,365 ppm,367 ppm
13/04/2022 08:44,365 ppm,357 ppm,365 ppm,365 ppm,364 ppm
13/04/2022 08:46,357 ppm,364 ppm,360 ppm,360 ppm,364 ppm
13/04/2022 08:48,358 ppm,362 ppm,360 ppm,357 ppm,397 ppm
13/04/2022 08:50,360 ppm,360 ppm,368 ppm,359 ppm,361 ppm
13/04/2022 08:52,362 ppm,358 ppm,365 ppm,361 ppm,361 ppm
13/04/2022 08:54,363 ppm,359 ppm,359 ppm,363 ppm,366 ppm
13/04/2022 08:56,357 ppm,365 ppm,379 ppm,359 ppm,358 ppm
13/04/2022 08:58,365 ppm,385 ppm,380 ppm,362 ppm,361 ppm
13/04/2022 09:00,361 ppm,362 ppm,368 ppm,359 ppm,362 ppm
13/04/2022 09:02,363 ppm,360 ppm,367 ppm,364 ppm,364 ppm
13/04/2022 09:04,360 ppm,404 ppm,359 ppm,359 ppm,362 ppm
13/04/2022 09:06,359 ppm,372 ppm,364 ppm,358 ppm,364 ppm
13/04/2022 09:08,358 ppm,368 ppm,369 ppm,361 ppm,359 ppm
13/04/2022 09:10,361 ppm,383 ppm,366 ppm,367 ppm,367 ppm
13/04/2022 09:12,358 ppm,433 ppm,366 ppm,360 ppm,371 ppm
13/04/2022 09:14,366 ppm,426 ppm,357 ppm,359 ppm,360 ppm
13/04/2022 09:16,359 ppm,359 ppm,381 ppm,362 ppm,362 ppm
13/04/2022 09:18,359 ppm,362 ppm,361 ppm,356 ppm,364 ppm
13/04/2022 09:20,363 ppm,363 ppm,389 ppm,358 ppm,369 ppm
13/04/2022 09:22,362 ppm,366 ppm,390 ppm,359 ppm,365 ppm
13/04/2022 09:24,366 ppm,361 ppm,370 ppm,361 ppm,364 ppm
13/04/2022 09:26,360 ppm,359 ppm,364 ppm,361 ppm,367 ppm
13/04/2022 09:28,361 ppm,363 ppm,383 ppm,361 ppm,362 ppm
13/04/2022 09:30,367 ppm,366 ppm,360 ppm,359 ppm,365 ppm
13/04/2022 09:32,368 ppm,360 ppm,374 ppm,360 ppm,364 ppm
13/04/2022 09:34,361 ppm,360 ppm,374 ppm,360 ppm,364 ppm
