Time,Bar,Central_Column,Salad_Bar,Hot_Counter,Pizza_Counter
12/04/2022 13:34,364 ppm,380 ppm,362 ppm,356 ppm,371 ppm
12/04/2022 13:36,366 ppm,363 ppm,364 ppm,358 ppm,359 ppm
12/04/2022 13:38,361 ppm,365 ppm,369 ppm,365 ppm,379 ppm
12/04/2022 13:40,362 ppm,366 ppm,379 ppm,366 ppm,358 ppm
12/04/2022 13:42,368 ppm,362 ppm,365 ppm,366 ppm,361 ppm
12/04/2022 13:44,364 ppm,376 ppm,358 ppm,361 ppm,360 ppm
12/04/2022 13:46,364 ppm,363 ppm,358 ppm,363 ppm,362 ppm
12/04/2022 13:48,359 ppm,360 ppm,367 ppm,367 ppm,362 ppm
12/04/2022 13:50,359 ppm,359 ppm,364 ppm,360 ppm,358 ppm
12/04/2022 13:52,359 ppm,365 ppm,365 ppm,362 ppm,372 ppm
12/04/2022 13:54,362 ppm,366 ppm,365 ppm,360 ppm,408 ppm
12/04/2022 13:56,361 ppm,359 ppm,368 ppm,361 ppm,358 ppm
12/04/2022 13:58,367 ppm,364 ppm,380 ppm,367 ppm,366 ppm
12/04/2022 14:00,362 ppm,371 ppm,387 ppm,364 ppm,382 ppm
12/04/2022 14:02,365 ppm,393 ppm,359 ppm,357 ppm,364 ppm
12/04/2022 14:04,365 ppm,371 ppm,360 ppm,357 ppm,396 ppm
12/04/2022 14:06,356 ppm,361 ppm,386 ppm,360 ppm,403 ppm
12/04/2022 14:08,358 ppm,365 ppm,517 ppm,358 ppm,379 ppm
12/04/2022 14:10,360 ppm,361 ppm,659 ppm,359 ppm,408 ppm
12/04/2022 14:12,368 ppm,369 ppm,526 ppm,365 ppm,383 ppm
12/04/2022 14:14,360 ppm,257 ppm,468 ppm,360 ppm,427 ppm
12/04/2022 14:16,361 ppm,514 ppm,470 ppm,364 ppm,395 ppm
12/04/2022 14:18,359 ppm,407 ppm,407 ppm,366 ppm,377 ppm
12/04/2022 14:20,362 ppm,384 ppm,375 ppm,361 ppm,373 ppm
12/04/2022 14:22,367 ppm,361 ppm,360 ppm,359 ppm,360 ppm
12/04/2022 14:24,365 ppm,365 ppm,358 ppm,363 ppm,365 ppm
12/04/2022 14:26,364 ppm,365 ppm,357 ppm,362 ppm,361 ppm
12/04/2022 14:28,357 ppm,364 ppm,363 ppm,357 ppm,359 ppm
12/04/2022 14:30,365 ppm,364 ppm,363 ppm,359 ppm,516 ppm
12/04/2022 14:32,364 ppm,357 ppm,425 ppm,358 ppm,363 ppm
12/04/2022 14:34,365 ppm,362 ppm,392 ppm,361 ppm,366 ppm
12/04/2022 14:36,366 ppm,359 ppm,378 ppm,364 ppm,380 ppm
12/04/2022 14:38,360 ppm,386 ppm,381 ppm,366 ppm,397 ppm
12/04/2022 14:40,357 ppm,357 ppm,356 ppm,367 ppm,423 ppm
12/04/2022 14:42,361 ppm,362 ppm,450 ppm,360 ppm,538 ppm
12/04/2022 14:44,361 ppm,362 ppm,741 ppm,365 ppm,632 ppm
12/04/2022 14:46,364 ppm,356 ppm,604 ppm,367 ppm,664 ppm
12/04/2022 14:48,362 ppm,361 ppm,698 ppm,363 ppm,646 ppm
12/04/2022 14:50,360 ppm,378 ppm,693 ppm,365 ppm,663 ppm
12/04/2022 14:52,364 ppm,491 ppm,693 ppm,365 ppm,593 ppm
12/04/2022 14:54,366 ppm,515 ppm,678 ppm,359 ppm,560 ppm
12/04/2022 14:56,366 ppm,509 ppm,619 ppm,367 ppm,495 ppm
12/04/2022 14:58,358 ppm,458 ppm,511 ppm,363 ppm,390 ppm
12/04/2022 15:00,363 ppm,383 ppm,482 ppm,361 ppm,369 ppm
12/04/2022 15:02,360 ppm,363 ppm,429 ppm,360 ppm,368 ppm
12/04/2022 15:04,365 ppm,362 ppm,357 ppm,357 ppm,360 ppm
12/04/2022 15:06,364 ppm,361 ppm,367 ppm,363 ppm,361 ppm
12/04/2022 15:08,360 ppm,366 ppm,359 ppm,361 ppm,362 ppm
12/04/2022 15:10,367 ppm,358 ppm,358 ppm,366 ppm,359 ppm
12/04/2022 15:12,368 ppm,361 ppm,422 ppm,360 ppm,363 ppm
12/04/2022 15:14,364 ppm,366 ppm,381 ppm,356 ppm,358 ppm
12/04/2022 15:16,365 ppm,367 ppm,360 ppm,367 ppm,376 ppm
12/04/2022 15:18,359 ppm,359 ppm,359 ppm,361 ppm,366 ppm
12/04/2022 15:20,365 ppm,363 ppm,381 ppm,357 ppm,366 ppm
12/04/2022 15:22,357 ppm,365 ppm,377 ppm,359 ppm,365 ppm
12/04/2022 15:24,371 ppm,362 ppm,366 ppm,365 ppm,365 ppm
12/04/2022 15:26,359 ppm,366 ppm,359 ppm,366 ppm,447 ppm
12/04/2022 15:28,358 ppm,363 ppm,402 ppm,364 ppm,363 ppm
12/04/2022 15:30,367 ppm,367 ppm,367 ppm,360 ppm,357 ppm
12/04/2022 15:32,367 ppm,361 ppm,415 ppm,359 ppm,362 ppm
12/04/2022 15:34,362 ppm,368 ppm,375 ppm,356 ppm,396 ppm
12/04/2022 15:36,361 ppm,376 ppm,359 ppm,360 ppm,587 ppm
12/04/2022 15:38,363 ppm,361 ppm,364 ppm,368 ppm,516 ppm
12/04/2022 15:40,364 ppm,357 ppm,399 ppm,364 ppm,593 ppm
12/04/2022 15:42,360 ppm,366 ppm,378 ppm,365 ppm,494 ppm
12/04/2022 15:44,365 ppm,368 ppm,356 ppm,361 ppm,545 ppm
12/04/2022 15:46,364 ppm,362 ppm,382 ppm,358 ppm,500 ppm
12/04/2022 15:48,438 ppm,418 ppm,358 ppm,360 ppm,458 ppm
12/04/2022 15:50,652 ppm,360 ppm,377 ppm,364 ppm,404 ppm
12/04/2022 15:52,615 ppm,358 ppm,381 ppm,365 ppm,367 ppm
12/04/2022 15:54,508 ppm,360 ppm,382 ppm,361 ppm,357 ppm
12/04/2022 15:56,463 ppm,361 ppm,382 ppm,364 ppm,378 ppm
12/04/2022 15:58,439 ppm,360 ppm,367 ppm,366 ppm,499 ppm
12/04/2022 16:00,409 ppm,360 ppm,389 ppm,359 ppm,448 ppm
12/04/2022 16:02,362 ppm,360 ppm,420 ppm,359 ppm,396 ppm
12/04/2022 16:04,365 ppm,361 ppm,373 ppm,364 ppm,358 ppm
12/04/2022 16:06,363 ppm,366 ppm,371 ppm,358 ppm,367 ppm
12/04/2022 16:08,356 ppm,364 ppm,395 ppm,359 ppm,364 ppm
12/04/2022 16:10,363 ppm,387 ppm,390 ppm,365 ppm,366 ppm
12/04/2022 16:12,361 ppm,384 ppm,366 ppm,359 ppm,389 ppm
12/04/2022 16:14,363 ppm,359 ppm,366 ppm,362 ppm,407 ppm
12/04/2022 16:16,361 ppm,365 ppm,363 ppm,363 ppm,485 ppm
12/04/2022 16:18,377 ppm,363 ppm,389 ppm,361 ppm,455 ppm
12/04/2022 16:20,366 ppm,360 ppm,394 ppm,365 ppm,395 ppm
12/04/2022 16:22,362 ppm,363 ppm,383 ppm,366 ppm,438 ppm
12/04/2022 16:24,361 ppm,360 ppm,379 ppm,364 ppm,419 ppm
12/04/2022 16:26,356 ppm,359 ppm,386 ppm,364 ppm,365 ppm
12/04/2022 16:28,367 ppm,366 ppm,368 ppm,362 ppm,380 ppm
12/04/2022 16:30,371 ppm,366 ppm,397 ppm,359 ppm,365 ppm
12/04/2022 16:32,368 ppm,364 ppm,412 ppm,359 ppm,467 ppm
12/04/2022 16:34,359 ppm,364 ppm,414 ppm,363 ppm,610 ppm
12/04/2022 16:36,361 ppm,437 ppm,413 ppm,362 ppm,562 ppm
12/04/2022 16:38,362 ppm,364 ppm,373 ppm,361 ppm,400 ppm
12/04/2022 16:40,366 ppm,373 ppm,393 ppm,364 ppm,360 ppm
12/04/2022 16:42,366 ppm,359 ppm,362 ppm,365 ppm,365 ppm
12/04/2022 16:44,363 ppm,368 ppm,380 ppm,364 ppm,362 ppm
12/04/2022 16:46,360 ppm,368 ppm,367 ppm,361 ppm,368 ppm
12/04/2022 16:48,365 ppm,364 ppm,366 ppm,360 ppm,359 ppm
12/04/2022 16:50,360 ppm,361 ppm,367 ppm,366 ppm,365 ppm
12/04/2022 16:52,365 ppm,361 ppm,384 ppm,365 ppm,367 ppm
12/04/2022 16:54,359 ppm,360 ppm,362 ppm,364 ppm,377 ppm
12/04/2022 16:56,358 ppm,374 ppm,393 ppm,360 ppm,382 ppm
12/04/2022 16:58,361 ppm,359 ppm,365 ppm,362 ppm,396 ppm
12/04/2022 17:00,484 ppm,363 ppm,375 ppm,362 ppm,359 ppm
12/04/2022 17:02,563 ppm,357 ppm,362 ppm,362 ppm,358 ppm
12/04/2022 17:04,527 ppm,367 ppm,367 ppm,365 ppm,367 ppm
12/04/2022 17:06,509 ppm,360 ppm,360 ppm,364 ppm,363 ppm
12/04/2022 17:08,475 ppm,359 ppm,365 ppm,362 ppm,361 ppm
12/04/2022 17:10,418 ppm,382 ppm,375 ppm,359 ppm,374 ppm
12/04/2022 17:12,382 ppm,367 ppm,373 ppm,359 ppm,404 ppm
12/04/2022 17:14,362 ppm,359 ppm,447 ppm,366 ppm,447 ppm
12/04/2022 17:16,373 ppm,369 ppm,451 ppm,364 ppm,394 ppm
12/04/2022 17:18,365 ppm,370 ppm,387 ppm,360 ppm,375 ppm
12/04/2022 17:20,362 ppm,360 ppm,370 ppm,365 ppm,403 ppm
12/04/2022 17:22,363 ppm,360 ppm,375 ppm,360 ppm,375 ppm
12/04/2022 17:24,360 ppm,363 ppm,374 ppm,367 ppm,367 ppm
12/04/2022 17:26,363 ppm,372 ppm,367 ppm,362 ppm,366 ppm
12/04/2022 17:28,366 ppm,361 ppm,356 ppm,357 ppm,359 ppm
12/04/2022 17:30,358 ppm,383 ppm,383 ppm,367 ppm,402 ppm
12/04/2022 17:32,362 ppm,357 ppm,359 ppm,360 ppm,377 ppm
12/04/2022 17:34,358 ppm,366 ppm,391 ppm,358 ppm,365 ppm
12/04/2022 17:36,361 ppm,362 ppm,375 ppm,365 ppm,377 ppm
12/04/2022 17:38,362 ppm,358 ppm,368 ppm,366 ppm,360 ppm
12/04/2022 17:40,365 ppm,360 ppm,383 ppm,358 ppm,383 ppm
12/04/2022 17:42,356 ppm,359 ppm,362 ppm,360 ppm,395 ppm
12/04/2022 17:44,366 ppm,368 ppm,365 ppm,367 ppm,357 ppm
12/04/2022 17:46,365 ppm,399 ppm,387 ppm,368 ppm,366 ppm
12/04/2022 17:48,362 ppm,362 ppm,386 ppm,364 ppm,363 ppm
12/04/2022 17:50,364 ppm,360 ppm,372 ppm,433 ppm,365 ppm
12/04/2022 17:52,359 ppm,359 ppm,358 ppm,582 ppm,378 ppm
12/04/2022 17:54,365 ppm,360 ppm,400 ppm,654 ppm,369 ppm
12/04/2022 17:56,366 ppm,376 ppm,365 ppm,621 ppm,370 ppm
12/04/2022 17:58,359 ppm,410 ppm,384 ppm,574 ppm,428 ppm
12/04/2022 18:00,356 ppm,417 ppm,377 ppm,507 ppm,414 ppm
12/04/2022 18:02,366 ppm,387 ppm,366 ppm,444 ppm,363 ppm
12/04/2022 18:04,362 ppm,374 ppm,366 ppm,394 ppm,373 ppm
12/04/2022 18:06,364 ppm,358 ppm,364 ppm,365 ppm,405 ppm
12/04/2022 18:08,358 ppm,359 ppm,384 ppm,363 ppm,382 ppm
12/04/2022 18:10,357 ppm,360 ppm,363 ppm,366 ppm,362 ppm
12/04/2022 18:12,363 ppm,389 ppm,364 ppm,359 ppm,367 ppm
12/04/2022 18:14,363 ppm,368 ppm,369 ppm,362 ppm,401 ppm
12/04/2022 18:16,358 ppm,366 ppm,358 ppm,366 ppm,395 ppm
12/04/2022 18:18,366 ppm,363 ppm,357 ppm,361 ppm,363 ppm
12/04/2022 18:20,358 ppm,393 ppm,359 ppm,357 ppm,360 ppm
12/04/2022 18:22,367 ppm,363 ppm,363 ppm,365 ppm,366 ppm
12/04/2022 18:24,363 ppm,361 ppm,364 ppm,363 ppm,363 ppm
12/04/2022 18:26,359 ppm,387 ppm,364 ppm,362 ppm,367 ppm
12/04/2022 18:28,361 ppm,366 ppm,364 ppm,363 ppm,359 ppm
12/04/2022 18:30,359 ppm,358 ppm,365 ppm,365 ppm,362 ppm
12/04/2022 18:32,364 ppm,367 ppm,365 ppm,363 ppm,361 ppm
12/04/2022 18:34,367 ppm,360 ppm,376 ppm,361 ppm,356 ppm
12/04/2022 18:36,363 ppm,366 ppm,375 ppm,357 ppm,365 ppm
12/04/2022 18:38,362 ppm,363 ppm,384 ppm,383 ppm,362 ppm
12/04/2022 18:40,366 ppm,365 ppm,360 ppm,396 ppm,367 ppm
12/04/2022 18:42,365 ppm,360 ppm,368 ppm,381 ppm,358 ppm
12/04/2022 18:44,364 ppm,368 ppm,367 ppm,365 ppm,368 ppm
12/04/2022 18:46,361 ppm,359 ppm,377 ppm,364 ppm,358 ppm
12/04/2022 18:48,358 ppm,364 ppm,374 ppm,365 ppm,374 ppm
12/04/2022 18:50,361 ppm,364 ppm,364 ppm,358 ppm,364 ppm
12/04/2022 18:52,359 ppm,364 ppm,365 ppm,364 ppm,366 ppm
12/04/2022 18:54,370 ppm,361 ppm,381 ppm,359 ppm,357 ppm
12/04/2022 18:56,363 ppm,358 ppm,359 ppm,361 ppm,369 ppm
12/04/2022 18:58,362 ppm,368 ppm,361 ppm,360 ppm,472 ppm
12/04/2022 19:00,361 ppm,407 ppm,362 ppm,367 ppm,418 ppm
12/04/2022 19:02,398 ppm,364 ppm,388 ppm,360 ppm,391 ppm
12/04/2022 19:04,418 ppm,360 ppm,360 ppm,364 ppm,404 ppm
12/04/2022 19:06,476 ppm,363 ppm,372 ppm,368 ppm,369 ppm
12/04/2022 19:08,465 ppm,363 ppm,372 ppm,357 ppm,365 ppm
12/04/2022 19:10,383 ppm,364 ppm,364 ppm,366 ppm,359 ppm
12/04/2022 19:12,362 ppm,374 ppm,359 ppm,361 ppm,392 ppm
12/04/2022 19:14,371 ppm,363 ppm,363 ppm,361 ppm,392 ppm
12/04/2022 19:16,360 ppm,362 ppm,362 ppm,359 ppm,368 ppm
12/04/2022 19:18,359 ppm,360 ppm,364 ppm,364 ppm,383 ppm
12/04/2022 19:20,360 ppm,366 ppm,363 ppm,361 ppm,599 ppm
12/04/2022 19:22,362 ppm,361 ppm,364 ppm,359 ppm,528 ppm
12/04/2022 19:24,364 ppm,380 ppm,376 ppm,360 ppm,561 ppm
12/04/2022 19:26,364 ppm,361 ppm,394 ppm,368 ppm,256 ppm
12/04/2022 19:28,360 ppm,368 ppm,389 ppm,356 ppm,634 ppm
12/04/2022 19:30,358 ppm,362 ppm,379 ppm,365 ppm,489 ppm
12/04/2022 19:32,364 ppm,361 ppm,363 ppm,364 ppm,358 ppm
12/04/2022 19:34,364 ppm,368 ppm,365 ppm,357 ppm,364 ppm
12/04/2022 19:36,365 ppm,356 ppm,388 ppm,361 ppm,362 ppm
12/04/2022 19:38,363 ppm,363 ppm,394 ppm,363 ppm,377 ppm
12/04/2022 19:40,363 ppm,364 ppm,402 ppm,363 ppm,365 ppm
12/04/2022 19:42,359 ppm,365 ppm,360 ppm,364 ppm,359 ppm
12/04/2022 19:44,363 ppm,362 ppm,367 ppm,364 ppm,364 ppm
12/04/2022 19:46,361 ppm,365 ppm,367 ppm,359 ppm,358 ppm
12/04/2022 19:48,358 ppm,359 ppm,365 ppm,395 ppm,366 ppm
12/04/2022 19:50,364 ppm,368 ppm,367 ppm,397 ppm,378 ppm
12/04/2022 19:52,361 ppm,359 ppm,363 ppm,372 ppm,367 ppm
12/04/2022 19:54,362 ppm,398 ppm,375 ppm,359 ppm,366 ppm
12/04/2022 19:56,359 ppm,399 ppm,382 ppm,360 ppm,366 ppm
12/04/2022 19:58,356 ppm,404 ppm,365 ppm,365 ppm,362 ppm
12/04/2022 20:00,360 ppm,377 ppm,369 ppm,362 ppm,364 ppm
12/04/2022 20:02,359 ppm,366 ppm,361 ppm,364 ppm,393 ppm
12/04/2022 20:04,365 ppm,363 ppm,363 ppm,359 ppm,362 ppm
12/04/2022 20:06,361 ppm,429 ppm,395 ppm,368 ppm,358 ppm
12/04/2022 20:08,364 ppm,448 ppm,362 ppm,362 ppm,398 ppm
12/04/2022 20:10,363 ppm,449 ppm,362 ppm,357 ppm,362 ppm
12/04/2022 20:12,361 ppm,396 ppm,364 ppm,372 ppm,365 ppm
12/04/2022 20:14,430 ppm,364 ppm,366 ppm,413 ppm,365 ppm
12/04/2022 20:16,584 ppm,366 ppm,368 ppm,420 ppm,366 ppm
12/04/2022 20:18,524 ppm,434 ppm,404 ppm,380 ppm,364 ppm
12/04/2022 20:20,524 ppm,412 ppm,367 ppm,357 ppm,365 ppm
12/04/2022 20:22,524 ppm,427 ppm,363 ppm,362 ppm,361 ppm
12/04/2022 20:24,524 ppm,361 ppm,363 ppm,359 ppm,394 ppm
12/04/2022 20:26,524 ppm,396 ppm,366 ppm,362 ppm,456 ppm
12/04/2022 20:28,524 ppm,358 ppm,393 ppm,364 ppm,434 ppm
12/04/2022 20:30,524 ppm,359 ppm,394 ppm,357 ppm,547 ppm
12/04/2022 20:32,524 ppm,356 ppm,394 ppm,359 ppm,502 ppm
12/04/2022 20:34,524 ppm,393 ppm,361 ppm,359 ppm,441 ppm
12/04/2022 20:36,524 ppm,371 ppm,377 ppm,362 ppm,441 ppm
12/04/2022 20:38,524 ppm,364 ppm,370 ppm,365 ppm,362 ppm
12/04/2022 20:40,524 ppm,404 ppm,365 ppm,360 ppm,372 ppm
12/04/2022 20:42,524 ppm,381 ppm,382 ppm,358 ppm,364 ppm
12/04/2022 20:44,524 ppm,360 ppm,418 ppm,364 ppm,360 ppm
12/04/2022 20:46,524 ppm,361 ppm,382 ppm,362 ppm,362 ppm
12/04/2022 20:48,524 ppm,367 ppm,374 ppm,367 ppm,362 ppm
12/04/2022 20:50,524 ppm,361 ppm,364 ppm,368 ppm,365 ppm
12/04/2022 20:52,524 ppm,361 ppm,364 ppm,357 ppm,365 ppm
12/04/2022 20:54,524 ppm,361 ppm,357 ppm,363 ppm,366 ppm
12/04/2022 20:56,524 ppm,364 ppm,397 ppm,368 ppm,358 ppm
12/04/2022 20:58,524 ppm,361 ppm,378 ppm,364 ppm,359 ppm
12/04/2022 21:00,524 ppm,358 ppm,373 ppm,364 ppm,365 ppm
12/04/2022 21:02,524 ppm,366 ppm,361 ppm,362 ppm,365 ppm
12/04/2022 21:04,524 ppm,362 ppm,363 ppm,366 ppm,359 ppm
12/04/2022 21:06,524 ppm,363 ppm,368 ppm,358 ppm,357 ppm
12/04/2022 21:08,524 ppm,360 ppm,367 ppm,359 ppm,366 ppm
12/04/2022 21:10,524 ppm,360 ppm,384 ppm,362 ppm,359 ppm
12/04/2022 21:12,524 ppm,360 ppm,388 ppm,358 ppm,356 ppm
12/04/2022 21:14,524 ppm,359 ppm,358 ppm,362 ppm,359 ppm
12/04/2022 21:16,524 ppm,361 ppm,382 ppm,363 ppm,361 ppm
12/04/2022 21:18,524 ppm,365 ppm,362 ppm,363 ppm,366 ppm
12/04/2022 21:20,524 ppm,364 ppm,387 ppm,363 ppm,366 ppm
